model,query_id,product_id,both_variant_boundary_guard,all_completeness_passed,runs,display
bge_base,2,24094,True,True,4,supplement
bge_base,26,5296,True,False,4,supplement
bge_base,235,28377,True,True,4,supplement
bge_base,235,40594,True,True,4,supplement
bge_base,235,7253,False,True,4,main_crossing
bge_base,241,13328,True,True,4,supplement
bge_base,242,14483,True,True,4,supplement
bge_base,250,2598,False,True,4,supplement
bge_base,260,41359,True,False,4,main_stable_control
bge_base,408,27808,True,True,4,supplement
bge_base,420,13149,True,True,4,supplement
bge_base,473,4373,True,True,4,supplement
minilm,2,3276,True,True,4,supplement
minilm,28,35834,True,True,4,supplement
minilm,68,9711,True,True,4,supplement
minilm,86,41495,True,True,4,supplement
minilm,111,10165,True,True,4,supplement
minilm,160,8066,True,True,4,supplement
minilm,184,15749,True,True,4,supplement
minilm,231,10873,True,True,4,supplement
minilm,245,4394,True,True,4,supplement
minilm,333,22324,True,True,4,supplement
minilm,359,12575,True,True,4,supplement_historical
minilm,415,32674,True,True,4,supplement
minilm,446,27022,True,True,4,supplement
